PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON_EXP,DRAFT_NUMBER,PRA,TOT_GAMES,GP_pct,Opp_met,DRAFT_BUCKET
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,20,7,13,0.35,22.1,4.0,8.7,0.462,1.5,4.1,0.358,0.8,1.0,0.842,1.6,1.8,3.4,1.8,1.3,0.9,0.3,0.2,2.4,0.9,10.3,-4.7,19.0,0,0,19.1,82,220,55,330,209,167,166,242,151,155,197,281,305,128,90,288,214,225,164,157,213,327,106,312,181,432,221,145,17,207,1,0,5,15.500000000000002,20,1.0,11.713,5
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,5,4,1,0.8,3.4,0.4,0.4,1.0,0.0,0.0,0.0,0.4,0.4,1.0,0.2,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.8,0.2,1.2,-1.0,2.1,0,0,2.0,423,305,430,46,473,467,484,1,416,450,416,357,392,1,417,467,468,461,434,403,406,418,405,440,466,278,476,145,17,475,1,0,36,1.6,20,0.25,0.765,15
1642873,Amari Williams,Amari,1610612738,BOS,23.0,5,3,2,0.6,5.7,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.4,0.5,0.4,1.0,1.4,0.2,0.0,0.2,0.4,0.2,0.8,0.4,0.6,-1.2,4.4,0,0,3.4,423,347,401,185,442,476,484,140,416,450,416,414,392,401,339,385,389,446,455,403,161,327,405,396,476,289,441,145,17,458,1,0,46,2.2,21,0.238095238095238,1.1942857142857144,15
1642854,Asa Newell,Asa,1610612737,ATL,20.0,13,10,3,0.769,7.4,1.2,2.6,0.471,0.6,1.4,0.444,0.5,0.7,0.778,0.7,0.8,1.5,0.2,0.3,0.4,0.2,0.3,1.1,0.5,3.6,0.1,7.3,1,0,7.2,293,138,368,58,417,372,384,218,289,337,58,327,335,225,241,420,386,444,413,350,265,263,356,383,363,230,390,95,17,384,1,0,23,5.3,22,0.5909090909090909,4.416454545454545,15
1642879,Ben Saraf,Ben,1610612751,BKN,19.0,9,1,8,0.111,16.0,1.4,4.9,0.295,0.7,2.7,0.25,0.9,1.1,0.8,0.4,1.3,1.8,2.9,1.6,0.3,0.1,0.7,1.4,0.9,4.4,-2.8,10.7,0,0,10.7,358,433,163,457,295,351,285,459,276,234,361,267,281,178,327,345,354,125,130,360,354,89,302,306,333,363,329,145,17,322,1,0,26,9.1,20,0.45,5.184,15
1642964,Brooks Barnhizer,Brooks,1610612760,OKC,23.0,15,14,1,0.933,7.5,0.6,1.1,0.529,0.1,0.1,0.5,0.1,0.3,0.5,0.4,1.7,2.1,0.3,0.1,0.1,0.1,0.3,0.7,0.2,1.4,-2.7,5.0,0,0,4.4,255,20,430,30,414,444,459,96,408,444,26,430,423,401,339,297,317,424,441,426,341,288,425,440,458,360,428,145,17,436,1,0,44,3.8,21,0.7142857142857143,3.910714285714286,15
1631126,Caleb Love,Caleb,1610612757,POR,24.0,13,4,9,0.308,17.6,2.9,9.2,0.319,1.5,5.8,0.253,0.7,0.9,0.75,0.6,2.1,2.7,2.1,0.8,0.5,0.0,0.5,1.3,0.8,8.0,-3.8,15.0,0,0,15.2,293,305,132,358,270,238,152,448,149,64,360,301,307,258,267,254,270,189,283,321,406,134,326,326,236,401,277,145,17,263,1,0,61,12.8,21,0.6190476190476191,6.75504761904762,15
1642868,Carter Bryant,Carter,1610612759,SAS,20.0,15,12,3,0.8,7.4,0.9,2.7,0.317,0.5,1.6,0.292,0.2,0.2,1.0,0.2,1.2,1.4,0.1,0.4,0.3,0.1,0.2,0.7,0.3,2.4,0.5,4.8,0,0,5.0,255,81,368,46,416,416,380,452,325,311,322,414,432,1,417,369,389,460,377,389,385,327,416,430,407,210,434,145,17,423,1,0,14,3.9,20,0.75,5.827500000000001,14
1642907,Cedric Coward,Cedric,1610612763,MEM,22.0,22,9,13,0.409,27.2,4.5,10.1,0.444,1.5,4.6,0.337,2.5,2.9,0.857,1.3,4.5,5.8,2.6,1.5,0.6,0.3,0.7,2.0,2.0,13.0,2.0,25.1,3,0,24.8,1,154,55,301,137,146,126,295,136,129,239,99,115,108,121,70,79,150,145,274,206,88,190,146,133,139,146,49,17,142,1,0,11,21.4,22,1.0,32.64,11
1642404,Chaz Lanier,Chaz,1610612765,DET,23.0,12,11,1,0.917,10.8,1.2,3.3,0.35,1.0,3.0,0.333,0.3,0.3,1.0,0.5,0.7,1.2,0.8,0.1,0.3,0.0,0.0,0.3,0.3,3.6,0.3,6.9,0,0,7.1,309,109,430,33,373,381,345,427,214,207,242,396,424,1,286,426,413,347,452,391,406,418,475,431,365,215,396,145,17,385,1,0,37,5.6,21,0.5714285714285714,6.356571428571429,15
